Label,SMS_Message
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,I dunno until when... Lets go learn pilates...
ham,Are you staying in town ?
spam,"449050000301 You have won a £2,000 price! To claim, call 09050000301."
ham,Ü collecting ur laptop then going to configure da settings izzit?
spam,Win a £1000 cash prize or a prize worth £5000
ham,i can call in &lt;#&gt; min if thats ok
ham,Good night my dear.. Sleepwell&amp;Take care
ham,Ill be at yours in about 3 mins but look out for me
ham,"If we hit it off, you can move in with me :)"
spam,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,"Mostly sports type..lyk footbl,crckt.."
ham,K..k..any special today?
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,I could ask carlos if we could get more if anybody else can chip in
ham,Is xy going 4 e lunch?
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
ham,Today my system sh get ready.all is well and i am also in the deep well
ham,Hey what happen de. Are you alright.
ham,When you are big..| God will bring success.
ham,"Sorry light turned green, I meant another friend wanted &lt;#&gt; worth but he may not be around"
ham,I went to project centre
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,Love you aathi..love u lot..
ham,I dunno they close oredi not... Ü v ma fan...
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,Tomarrow i want to got to court. At &lt;DECIMAL&gt; . So you come to bus stand at 9.
ham,"House-Maid is the murderer, coz the man was murdered on &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Are you going to wipro interview today?
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a &lt;#&gt; movie DOESNT inlude the previews. You're still getting in after 1."
ham,Ok. I only ask abt e movie. U wan ktv oso?
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
ham,This pay is &lt;DECIMAL&gt; lakhs:)
ham,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
ham,I fetch yun or u fetch?
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
ham,Oh ho. Is this the first time u use these type of words
ham,I'm done oredi...
ham,U can call me now...
ham,Wish u many many returns of the day.. Happy birthday vikky..
ham,You've always been the brainy one.
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
ham,Will you be here for food
ham,Pls speak to that customer machan.
ham,Im on gloucesterroad what are uup to later?
ham,Ha ha cool cool chikku chikku:-):-DB-)
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
ham,Ok.ok ok..then..whats ur todays plan
ham,After completed degree. There is no use in joining finance.
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,LMAO where's your fish memory when I need it?
ham,"How about clothes, jewelry, and trips?"
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,"Sorry, I'll call later"
ham,I'm in class. Will holla later
ham,Ok thanx... Take care then...
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,excellent. I spent &lt;#&gt; years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt; or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,Is avatar supposed to have subtoitles
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Both :) i shoot big loads so get ready!
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
ham,Remember on that day..
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
ham,* Will have two more cartons off u and is very pleased with shelves
ham,I'm vivek:)i got call from your number.
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Watching tv lor. Nice one then i like lor.
ham,You best watch what you say cause I get drunk as a motherfucker
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,I.ll post her out l8r. In class
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
ham,Oh really?? Did you make it on air? What's your talent?
ham,Do you like shaking your booty on the dance floor?
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
ham,I think i've fixed it can you send a test message?
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
ham,Yes.. now only saw your message..
ham,You are right. Meanwhile how's project twins comin up
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham,Can not use foreign stamps in this country.
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,It has issues right now. Ill fix for her by tomorrow.
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,Orh i tot u say she now still dun believe.
ham,Any way where are you and what doing.
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,"We're all getting worried over here, derek and taylor have already assumed the worst"
ham,"Sir, waiting for your letter."
ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
ham,"Hi this is yijue, can i meet u at 11 tmr?"
ham,No no. I will check all rooms befor activities
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,"Same, I'm at my great aunts anniversary party in tarpon springs"
ham,Me n him so funny...
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
ham,Yes princess! I want to make you happy...
ham,Do ü noe if ben is going?
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Studying. But i.ll be free next weekend.
ham,I come n pick ü up... Come out immediately aft ur lesson...
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
ham,it's really getting me down just hanging around.
ham,"I can make it up there, squeezed &lt;#&gt; bucks out of my dad"
ham,Do you hide anythiing or keeping distance from me
ham,"What will we do in the shower, baby?"
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a £250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop£1.50/week
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
ham,We can make a baby in yo tho
ham,Can come my room but cannot come my house cos my house still messy... Haha...
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?
ham,Wait 2 min..stand at bus stop
ham,"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
ham,Customer place i will call you.
ham,Delhi and chennai still silent.
spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
ham,Ü no home work to do meh...
ham,No..jst change tat only..
ham,Sindu got job in birla soft ..
ham,Ü neva tell me how i noe... I'm not at home in da aft wat...
ham,K k pa Had your lunch aha.
ham,Ok... Take ur time n enjoy ur dinner...
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
ham,All sounds good. Fingers . Makes it difficult to type
ham,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?
ham,S:)8 min to go for lunch:)
ham,What type of stuff do you sing?
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,Happy birthday... May all ur dreams come true...
ham,Yes. that will be fine. Love you. Be safe.
ham,Yes. Last practice
ham,Oh did you charge camera
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,Yesterday its with me only . Now am going home.
ham,Honey boo I'm missing u.
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you
ham,Oh you got many responsibilities.
ham,In da car park
ham,"It's wylie, you in tampa or sarasota?"
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
ham,Lmao but its so fun...
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,Ü wait 4 me in sch i finish ard 5..
ham,Wait &lt;#&gt; min..
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,All done? All handed in? Celebrations in full swing yet?
ham,If you have belive me. Come to my home.
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
ham,Dunno y u ask me.
ham,"Sorry, I'll call later ok bye"
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,What you need. You have a person to give na.
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,I cant pick the phone right now. Pls send a message
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
ham,I hope you know I'm still mad at you.
ham,WHORE YOU ARE UNBELIEVABLE.
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,I will once i get home
ham,Aight sorry I take ten years to shower. What's the plan?
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,In which place i can get rooms cheap:-)
ham,But i juz remembered i gotta bathe my dog today..
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
ham,I had it already..sabarish asked me to go..
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,Ok. No wahala. Just remember that a friend in need ...
ham,Okay same with me. Well thanks for the clarification
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
ham,You could have seen me..i did't recognise you Face.:)
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,I can ask around but there's not a lot in terms of mids up here
ham,Good morning princess! Happy New Year!
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop."
ham,"Coffee cake, i guess..."
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
ham,"Sorry, I'll call later"
ham,Howz pain?hope u r fine..
ham,"I've got ten bucks, jay is being noncomittal"
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
ham,Also where's the piece
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,"Not sure yet, still trying to get a hold of him"
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
ham,The basket's gettin full so I might be by tonight
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?"
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7"
ham,Then get some cash together and I'll text jason
ham,That's one of the issues but california is okay. No snow so its manageable
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,"K will do, addie &amp; I are doing some art so I'll be here when you get home"
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,Was it something u ate?
ham,I am in a marriage function
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
ham,Nope... Juz off from work...
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
ham,"K I'm ready, &lt;#&gt; ?"
ham,Carlos says we can pick up from him later so yeah we're set
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
ham,"Arms fine, how's Cardiff and uni?"
ham,Its good to hear from you
spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,See the forwarding message for proof
ham,K... Must book a not huh? so going for yoga basic on sunday?
ham,Tmr timin still da same wat cos i got lesson until 6...
ham,"Dude u knw also telugu..thts gud..k, gud nyt.."
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,But i dint slept in afternoon.
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
ham,How are you. Just checking up on you
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,"Tonight? Yeah, I'd be down for that"
ham,Did u got that persons story
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
ham,Already one guy loving you:-.
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
ham,HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!
ham,So wat's da decision?
ham,Or I guess &lt;#&gt; min
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Ok no prob
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,Yo im right by yo work
ham,Easy ah?sen got selected means its good..
ham,How do you guys go to see movies on your side.
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
ham,am up to my eyes in philosophy
ham,Hi. Hope you had a good day. Have a better night.
ham,Im good! I have been thinking about you...
ham,Hi dude hw r u da realy mising u today
ham,Erm. I thought the contract ran out the4th of october.
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
spam,Missed call alert. These numbers called but left no message. 07008009200
ham,"K, if u bored up just come to my home.."
ham,At what time are you coming.
ham,S:)no competition for him.
ham,"Uh, heads up we don't have THAT much left"
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
ham,"Usf I guess, might as well take 1 car"
ham,I am great! How are you?
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,Oi when you gonna ring
ham,Not from this campus. Are you in the library?
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,I'm going 2 orchard now laready me reaching soon. U reaching?
ham,"Yeah probably, I still gotta check out with leo"
ham,I will be gentle baby! Soon you will be taking all &lt;#&gt; inches deep inside your tight pussy...
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,Yo guess what I just dropped
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Ok lor...
ham,"It could work, we'll reach a consensus at the next meeting"
ham,"Yo, you around? Just got my car back"
ham,No..its ful of song lyrics..
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Becoz its &lt;#&gt; jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
ham,Pls send me your address sir.
ham,Where are you call me.
ham,Whens your radio show?
ham,"Easy mate, * guess the quick drink was bit ambitious."
ham,Hi ....My engagement has been fixd on &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
ham,&lt;#&gt; in mca. But not conform.
ham,I will take care of financial problem.i will help:)
ham,She doesnt need any test.
ham,Dude we should go sup again
ham,How come guoyang go n tell her? Then u told her?
ham,Keep my payasam there if rinu brings
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p"
ham,Then cant get da laptop? My matric card wif ü lei...
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,Here got lots of hair dresser fr china.
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,Good words.... But words may leave u in dismay many times.
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,Why are u up so early?
ham,Pls speak with me. I wont ask anything other then you friendship.
ham,Can't take any major roles in community outreach. You rock mel
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave...
ham,Wanna do some art?! :D
ham,I am in hospital da. . I will return home in evening
ham,if you aren't here in the next &lt;#&gt; hours imma flip my shit
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
ham,Cos i want it to be your thing
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
ham,"Sorry, I'll call later"
ham,... Are you in the pub?
ham,You flippin your shit yet?
ham,Dad went out oredi...
ham,Do I? I thought I put it back in the box
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,Howz that persons story
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
